replicate,model_mean_hidden_ba
0,0.51642415054303314
1,0.52660723148016464
2,0.53092686931019184
3,0.52510765034125373
4,0.52126475410284301
5,0.51053047788707207
6,0.52418250269324296
7,0.52876485218249214
8,0.5233208931088692
9,0.52231178165994985
10,0.5282345940776827
11,0.51895121981861236
12,0.52511265435762433
13,0.52191259849333715
14,0.51406049330711079
15,0.51300025771431579
16,0.52699433072606483
17,0.51930483489431212
18,0.52014835913209079
19,0.52039141841152525
20,0.52535295094199908
21,0.52028671811204152
22,0.52289253950676229
23,0.52240333921024518
24,0.52034255988335709
25,0.52758403516621966
26,0.517585997623355
27,0.51170068460907181
28,0.52236280071094954
29,0.52166824857555505
30,0.52068679817289731
31,0.5144282066231054
32,0.52639727131428027
33,0.52902431968573782
34,0.52140675314473806
35,0.52573584788231709
36,0.51830024155331889
37,0.51953103029000014
38,0.5323281522193466
39,0.52378889820396579
40,0.52411202489618169
41,0.51983860034713492
42,0.52148850880412356
43,0.51396823929637947
44,0.51716500385929676
45,0.51780373010455083
46,0.51586663002164934
47,0.52260626258270459
48,0.52783701407111849
49,0.52498819218355952
50,0.52331416566014555
51,0.5192752518074949
52,0.51848326342243545
53,0.51927698567853642
54,0.52063762517595147
55,0.51538482950744213
56,0.51339378514005385
57,0.52556349714348405
58,0.53047875960569801
59,0.51815077127214015
60,0.51670962846467039
61,0.52307905815766254
62,0.51481420936842248
63,0.51935099701081167
64,0.51622925245606077
65,0.52145050714765639
66,0.52475263556496343
67,0.52080595361708792
68,0.52388561016097468
69,0.52323894359351197
70,0.51619301851748378
71,0.5224642689452732
72,0.51178996525849629
73,0.51555373259356885
74,0.51988625409744116
75,0.52622717476312242
76,0.52706441814652583
77,0.52674672900892217
78,0.51945694930538111
79,0.52149534456706603
80,0.52398356120782863
81,0.52282308710057901
82,0.52045067442430126
83,0.52830072232850189
84,0.52069766623277536
85,0.52434336573759854
86,0.52340646069105845
87,0.5255901602422518
88,0.52088055437009317
89,0.52691291789820283
90,0.51968830098597563
91,0.53105480696978935
92,0.52584259844592451
93,0.51796541706129473
94,0.52349219122386381
95,0.51666099230870932
96,0.52180820646836878
97,0.52700282397822407
98,0.53093569547298913
99,0.53137527846974952
100,0.52291527419981454
101,0.51936545803951339
102,0.51754986974223216
103,0.52847660763294058
104,0.51969459958181263
105,0.52292195377197215
106,0.52304884507141436
107,0.51960512058720976
108,0.51829757082533523
109,0.52269231333030564
110,0.52494364898410617
111,0.52690207746255269
112,0.51751857995873674
113,0.52017619329286713
114,0.52278820277939131
115,0.52359932995523684
116,0.50996626319323624
117,0.51954124289825132
118,0.52028276199870382
119,0.53217683381263226
120,0.5208425828307256
121,0.51977587588887475
122,0.52338627844924646
123,0.52352270746356888
124,0.52095988896154943
125,0.52100807961520956
126,0.53220585363874995
127,0.51855589237528643
128,0.5189380290590897
129,0.51823104449826474
130,0.52141403864069225
131,0.51769630376646758
132,0.5194295344777633
133,0.52414033949149796
134,0.52440993919322265
135,0.51684295353994192
136,0.52226129764291507
137,0.52100674926745927
138,0.5295640303318343
139,0.52155064688429709
140,0.51558401150392763
141,0.5258173110299299
142,0.52704494685016812
143,0.52793767733675068
144,0.52272698525706029
145,0.52440516726582165
146,0.51716300136619298
147,0.51559448971988719
148,0.52640587066297895
149,0.53019451236429838
150,0.52004154249690959
151,0.51330129757672338
152,0.52681010295283059
153,0.52225447360720867
154,0.52017395891916074
155,0.52876601230853759
156,0.52045529878774655
157,0.5175334938083942
158,0.52394415417021456
159,0.52266495814790581
160,0.51985733881990481
161,0.52030960750972022
162,0.52125643134213828
163,0.52447935081968244
164,0.52060152660259862
165,0.52458174184284656
166,0.52754215063693033
167,0.52766893992641117
168,0.5218270662623109
169,0.51975154114244093
170,0.52413650671235745
171,0.52855310130064725
172,0.52508227543382069
173,0.52177077285606865
174,0.52680329606422549
175,0.52794876428838011
176,0.52623097126466423
177,0.52223543821930696
178,0.51918070572770936
179,0.52678455453713513
180,0.52145812359100396
181,0.5271500655883149
182,0.52251855443448147
183,0.51645497728681145
184,0.52187309992025632
185,0.51294297152755175
186,0.52076578783228489
187,0.51794695406433611
188,0.52148527827269375
189,0.51462048563618812
190,0.5201346628607697
191,0.5323046631131737
192,0.52360393025073981
193,0.52202996820405789
194,0.53307115389423165
195,0.52048016270658737
196,0.52104376697223265
197,0.52565175184976998
198,0.51825428375568472
199,0.52318557847385272
200,0.52701864966642442
201,0.52098070537780328
202,0.52877301629494888
203,0.52728534042838537
204,0.52312761263870944
205,0.51846837728532069
206,0.52353458523740637
207,0.52168356150105266
208,0.52885711713791506
209,0.52237261627361298
210,0.51945548872791258
211,0.52511985193958666
212,0.52392802302212582
213,0.52516778216784155
214,0.52630580386349224
215,0.52427771625724484
216,0.52838198965232497
217,0.51893676292971791
218,0.52810179089900677
219,0.520798099329155
220,0.52399701163746859
221,0.51276928429049129
222,0.51767794835073566
223,0.52356103580022995
224,0.52407240756639673
225,0.52906031617203397
226,0.52201359082523857
227,0.51777300972966123
228,0.5196056419860976
229,0.52901856960953864
230,0.5233867794882554
231,0.5217817441881849
232,0.5223025749872019
233,0.52137550004402267
234,0.51505848565883372
235,0.52558861090673481
236,0.52147268500797028
237,0.52767850453145226
238,0.52610707720782623
239,0.5254522772036514
240,0.51944093902887578
241,0.51989991030601224
242,0.52050950130834173
243,0.52119286362606765
244,0.51226190067287214
245,0.52393542581178143
246,0.53107981300647533
247,0.51764541314673684
248,0.52133415913377568
249,0.51399258416908544
250,0.51952953389814449
251,0.51563750396153529
252,0.51720118430824402
253,0.51942241345030904
254,0.51879989082468114
255,0.52781393313632619
256,0.52634910079166952
257,0.51944169707906762
258,0.51965848258000036
259,0.51920913057397533
260,0.51903787908052057
261,0.53190869386655548
262,0.52040694504128315
263,0.52418889156236492
264,0.53031235149208134
265,0.52736923503508615
266,0.5292774573790312
267,0.52775310781420604
268,0.52121491489665839
269,0.53169459405418862
270,0.52455467747104001
271,0.52577200214691122
272,0.52077400161916132
273,0.51923964815781898
274,0.5252035544699668
275,0.50998128988003832
276,0.51852585684817154
277,0.52078297206595536
278,0.52334372759036407
279,0.51164507915778834
280,0.52116433703496623
281,0.52508487354032485
282,0.51809861028288096
283,0.52512085468908787
284,0.52950713111021608
285,0.51017047298430773
286,0.52119923021346615
287,0.51652928146851962
288,0.51791745961363067
289,0.51624988549336537
290,0.5227688006834923
291,0.51467408524737146
292,0.52376794115620295
293,0.52616474796439261
294,0.5174027397893437
295,0.52180773782576784
296,0.52256690000773109
297,0.52342454911572867
298,0.51813405489696529
299,0.52249578100834493
300,0.52172538497185006
301,0.53516785376907383
302,0.51794906521929029
303,0.52432734233657574
304,0.51864667542640863
305,0.52090357932910736
306,0.52841541117417035
307,0.5191514924314331
308,0.52017443046096057
309,0.51441853961684236
310,0.52353506642307246
311,0.51586864913562758
312,0.53317659391151051
313,0.52609772562354096
314,0.52549929089154179
315,0.52777434670588819
316,0.52992875256940286
317,0.53254218883434734
318,0.52098325438473603
319,0.52434972118550527
320,0.51089530963670149
321,0.52292806860831731
322,0.52057820078229367
323,0.52295005347996193
324,0.52710556115070673
325,0.51817834605607627
326,0.52790990830837692
327,0.52207897459268726
328,0.51562818948814004
329,0.52936521022972549
330,0.5234112761690608
331,0.52650912720685361
332,0.51483621300758009
333,0.52577781726759443
334,0.51494957310995138
335,0.52372058500136653
336,0.52273175314055531
337,0.52846810975301539
338,0.52010119929012666
339,0.52643549480004415
340,0.52071662288065113
341,0.52668811008665817
342,0.51996325081304173
343,0.52201337782767454
344,0.51668179779626544
345,0.52399313540708303
346,0.52332479910283036
347,0.5218918935350807
348,0.52918959727427117
349,0.51802207786740517
350,0.53045900402029222
351,0.51722015490959927
352,0.52619267880862675
353,0.51542004201208047
354,0.52249680996090286
355,0.52039394557581209
356,0.51527041156464104
357,0.52549466438426273
358,0.52120500876435116
359,0.51955970710579069
360,0.52667598722304265
361,0.51665966519593798
362,0.5296489566263326
363,0.52921475628768389
364,0.5181760922225096
365,0.51767831383604346
366,0.52501812286268079
367,0.52210182686057016
368,0.52987276651825832
369,0.52417498819387476
370,0.51910002763423024
371,0.52644228921360559
372,0.51772362729748622
373,0.51960549628903985
374,0.52235550147258214
375,0.52732315832429522
376,0.518472500367956
377,0.52410057106660335
378,0.52052559811005938
379,0.53303996510955698
380,0.52868584070024705
381,0.53022914926903075
382,0.52910913810911109
383,0.51473251325205394
384,0.5262909994689029
385,0.51377816191352499
386,0.52373986907178305
387,0.51909384871334641
388,0.532206755083098
389,0.52192113035805066
390,0.52129672597422749
391,0.52882720322199805
392,0.5232055859406638
393,0.52827243616082531
394,0.53511430910990421
395,0.52786732781037937
396,0.52260551118687926
397,0.52262485728671682
398,0.52683366070516713
399,0.52127137675194513
400,0.52800177284642946
401,0.51496365744995842
402,0.51779078126469336
403,0.52246408577932646
404,0.52436064651857972
405,0.52787121183664432
406,0.51827308992649956
407,0.51804815628237444
408,0.52342682006982189
409,0.51765683035458954
410,0.52437798613586106
411,0.52149456218512191
412,0.51639234690860736
413,0.52586367709887427
414,0.52298866683006495
415,0.5221329661842985
416,0.52382805615882744
417,0.51965423867365745
418,0.52316205223973333
419,0.52929056846340483
420,0.52396350421674232
421,0.53590892198246876
422,0.52674807701012738
423,0.52389078637675457
424,0.52213079723927747
425,0.52701987890981372
426,0.52124283872902688
427,0.53008801837068709
428,0.50856309179034564
429,0.53119709507334834
430,0.52084082410259158
431,0.51801458384793631
432,0.52526295563514247
433,0.52510053557300274
434,0.52199741541446076
435,0.52350114446475382
436,0.52627819147208121
437,0.52543933949241006
438,0.52401788556475937
439,0.52708401731562382
440,0.53129005511491667
441,0.52191278078112469
442,0.52185292131521943
443,0.51849218297460276
444,0.51887277468453996
445,0.52762607972322528
446,0.51921270131412101
447,0.52534646867336554
448,0.53003829099738253
449,0.52922736002532844
450,0.51497178901833562
451,0.52624628474044743
452,0.52439036267586492
453,0.52678027218364032
454,0.51317204461144461
455,0.53166040715520002
456,0.5339288318633002
457,0.52171117946790901
458,0.52171203665658017
459,0.52228581060224866
460,0.51501081717629293
461,0.52084535863372672
462,0.51908860308099514
463,0.52343572171031871
464,0.52444256044505932
465,0.52638039499506628
466,0.52295078085447799
467,0.51825961569501955
468,0.51410391386065146
469,0.52150382290732944
470,0.51621198895552611
471,0.52326732449535651
472,0.52243578595991602
473,0.53025807399446379
474,0.53147334162833815
475,0.53024500446096201
476,0.52473609048667469
477,0.52864085382468196
478,0.51636272571570496
479,0.52067605118217974
480,0.53338027366289287
481,0.53307678300808392
482,0.51964216603207958
483,0.51398707133753119
484,0.52311153283312395
485,0.51519531684409769
486,0.5344401209906029
487,0.52365931228736351
488,0.52036624485554417
489,0.52383153596692289
490,0.524210150734299
491,0.51670152648797585
492,0.51977790455702988
493,0.52918836971011118
494,0.52213521097445192
495,0.53067473764614947
496,0.5243404367235549
497,0.52406323851981051
498,0.51804063396891031
499,0.51788499785337838
500,0.51709016565239163
501,0.52508212186102243
502,0.52107884760450596
503,0.52623867593248674
504,0.53308227279395104
505,0.53058165398177115
506,0.52032872792259566
507,0.5215516964881125
508,0.52913569193758314
509,0.51446791283229965
510,0.51444367049555417
511,0.52346908740392128
512,0.52513206731803452
513,0.51746570924760205
514,0.51873254533843904
515,0.51732793785658493
516,0.52001555151849921
517,0.52326582618569295
518,0.51316855103382764
519,0.52414652949554097
520,0.51158518363192107
521,0.52063818618195479
522,0.52060588249835726
523,0.52479722386917127
524,0.51763575679094176
525,0.5206301527701005
526,0.51033612528266359
527,0.52028656596036571
528,0.52018172923883432
529,0.52929981231638767
530,0.51465694254671435
531,0.52260792632583419
532,0.52137450155544973
533,0.51973673953053245
534,0.52511386093495782
535,0.52676350136810446
536,0.51789787078632388
537,0.52302367811213391
538,0.52089026043378284
539,0.52411105103143829
540,0.52415627928910991
541,0.52058951514126073
542,0.51576162366523914
543,0.52387121047380547
544,0.52388687276723822
545,0.52224046314844519
546,0.51846327205811515
547,0.52175753718300466
548,0.5260341299469552
549,0.52484252597471692
550,0.52343080990481672
551,0.53175347101494941
552,0.52766036545972839
553,0.51936798033343656
554,0.5376271494019792
555,0.51722188221455401
556,0.5276028726638492
557,0.52992855754105084
558,0.52573804043519046
559,0.52430675327892562
560,0.51947160888560362
561,0.53027405465824295
562,0.5192227611275031
563,0.52174350525520419
564,0.5216018951743211
565,0.51617785660185267
566,0.51686263110006703
567,0.52502600248248765
568,0.52233491004284427
569,0.52518287677992304
570,0.52452769465305304
571,0.52918091658155553
572,0.51747589303899832
573,0.53136016139224285
574,0.52590262674995758
575,0.52449673928637597
576,0.52545570276686981
577,0.52822680425855395
578,0.51857554411861195
579,0.51799312533384845
580,0.5221716385395283
581,0.52484808406414096
582,0.521868835246589
583,0.52156599029578588
584,0.52322614190017602
585,0.53535475510053465
586,0.52543788607549935
587,0.52376638033371581
588,0.52094800729207902
589,0.52025156707733999
590,0.51547913463712269
591,0.52950203983453181
592,0.5212178643890204
593,0.51213921662724504
594,0.51678133973631279
595,0.50963717914532403
596,0.51754275375441172
597,0.53076153946476068
598,0.52430250108714294
599,0.5329556731440166
600,0.51960140109806041
601,0.52346592473097309
602,0.52356400781342405
603,0.51532135153010405
604,0.51535896049405294
605,0.51991172559872711
606,0.52969605796882757
607,0.52101537576437562
608,0.53115006875630655
609,0.52824119624226151
610,0.52221084824182773
611,0.52176767747301556
612,0.5280290721730504
613,0.52023597519187081
614,0.51546373786532695
615,0.53036655209531158
616,0.52003991445875375
617,0.51715085052527943
618,0.52533753450968068
619,0.53041692959065201
620,0.52780143711819183
621,0.52345675053294527
622,0.51922086535228762
623,0.51972681659710651
624,0.52019544465922141
625,0.51793875162784642
626,0.52068030323863235
627,0.51242839911933169
628,0.5217596778429765
629,0.52547778018355495
630,0.52000214633686037
631,0.53077258389256665
632,0.52939807339692257
633,0.51716698446242337
634,0.53361913332275568
635,0.51768790103046114
636,0.52016817160506901
637,0.52390487075598358
638,0.51927424107564568
639,0.52526655104650743
640,0.52219105296727997
641,0.53013149093552925
642,0.52481249667329022
