endpoint_name,available_in_raw,available_in_constructed_surface,ran_pipeline,primary_or_exploratory,eligible_surface_count,mean_hidden_BA,mean_lift,notes
acceptable_floor_choice,True,True,True,primary_dense_posture_poc,77,0.74693002007556466,0.221843970292014858,Endpoint audit provenance is copied from the artifact-level audit table; AFC is rebuilt from raw-response artifacts in this run.
below_floor,True,True,True,denominator_limited_failure_endpoint,11,,,Endpoint audit provenance is copied from the artifact-level audit table; AFC is rebuilt from raw-response artifacts in this run.
clean_harmful_undertriage,False,True,True,denominator_limited_failure_endpoint,24,,,Endpoint audit provenance is copied from the artifact-level audit table; AFC is rebuilt from raw-response artifacts in this run.
floor_vs_ceiling_within_range_only,False,True,True,adjacent_posture_comparator,65,0.7581899011141713,,Endpoint audit provenance is copied from the artifact-level audit table; AFC is rebuilt from raw-response artifacts in this run.
outside_range,True,True,True,denominator_limited_failure_endpoint,20,,,Endpoint audit provenance is copied from the artifact-level audit table; AFC is rebuilt from raw-response artifacts in this run.
