axis,univariate_BA_best_orientation,mutual_information_bits,main_effect_coefficient_probability_scale,variance_explained,interpretation_note
anchor,0.54645243229655893,0.0062102802793553014,0.092532467532467577,0.0085967163665709809,Pooled eligible-cell descriptive audit; not used to fit the primary reconstructor.
access,0.54808234220170138,0.00665443100702897,-0.095779220779220797,0.0092105785386376003,Pooled eligible-cell descriptive audit; not used to fit the primary reconstructor.
black,0.51955891886170913,0.0010996692004812177,-0.038961038961038974,0.0015240715996136915,Pooled eligible-cell descriptive audit; not used to fit the primary reconstructor.
woman,0.51059441438342579,0.00032258712327279393,0.021103896103896069,0.00044716684085887643,Pooled eligible-cell descriptive audit; not used to fit the primary reconstructor.
objective,0.53748792781827559,0.0040425521769363142,-0.074675324675324728,0.0055988463624697454,Pooled eligible-cell descriptive audit; not used to fit the primary reconstructor.
