endpoint,endpoint_family,ran_pipeline,role,models_total,models_with_ge5_nonconstant_surfaces,total_model_scenario_surfaces,nonconstant_surfaces,constant_zero_surfaces,constant_one_surfaces,reported_in_primary_poc,result_summary
acceptable_floor_choice,posture,True,primary_dense_posture_poc,10,10,146,77,38,31,True,q12 degree1 hidden BA=0.74693002007556466; lift=0.221843970292014858
below_floor,failure,True,denominator_limited_failure_endpoint,10,0,146,11,135,0,False,not part of dense-posture POC; denominator-limited
clean_harmful_undertriage,failure,True,denominator_limited_failure_endpoint,10,1,150,24,125,1,False,not part of dense-posture POC; denominator-limited
floor_vs_ceiling_within_range_only,posture,True,adjacent_posture_comparator,10,7,124,65,28,31,False,q12 degree1 hidden BA=0.7581899011141713
outside_range,failure,True,denominator_limited_failure_endpoint,10,0,146,20,124,2,False,not part of dense-posture POC; denominator-limited
