replicate,model_mean_hidden_ba
0,0.5164241505430331
1,0.5266072314801646
2,0.5309268693101918
3,0.5251076503412537
4,0.521264754102843
5,0.5105304778870721
6,0.524182502693243
7,0.5287648521824921
8,0.5233208931088692
9,0.5223117816599498
10,0.5282345940776827
11,0.5189512198186124
12,0.5251126543576243
13,0.5219125984933372
14,0.5140604933071108
15,0.5130002577143158
16,0.5269943307260648
17,0.5193048348943121
18,0.5201483591320908
19,0.5203914184115253
20,0.5253529509419991
21,0.5202867181120415
22,0.5228925395067623
23,0.5224033392102452
24,0.5203425598833571
25,0.5275840351662197
26,0.517585997623355
27,0.5117006846090718
28,0.5223628007109495
29,0.521668248575555
30,0.5206867981728973
31,0.5144282066231054
32,0.5263972713142803
33,0.5290243196857378
34,0.521406753144738
35,0.5257358478823171
36,0.5183002415533189
37,0.5195310302900001
38,0.5323281522193466
39,0.5237888982039658
40,0.5241120248961817
41,0.5198386003471349
42,0.5214885088041236
43,0.5139682392963795
44,0.5171650038592968
45,0.5178037301045508
46,0.5158666300216493
47,0.5226062625827046
48,0.5278370140711185
49,0.5249881921835595
50,0.5233141656601455
51,0.5192752518074949
52,0.5184832634224354
53,0.5192769856785364
54,0.5206376251759515
55,0.5153848295074421
56,0.5133937851400538
57,0.525563497143484
58,0.530478759605698
59,0.5181507712721402
60,0.5167096284646704
61,0.5230790581576625
62,0.5148142093684225
63,0.5193509970108117
64,0.5162292524560608
65,0.5214505071476564
66,0.5247526355649634
67,0.5208059536170879
68,0.5238856101609747
69,0.523238943593512
70,0.5161930185174838
71,0.5224642689452732
72,0.5117899652584963
73,0.5155537325935688
74,0.5198862540974412
75,0.5262271747631224
76,0.5270644181465258
77,0.5267467290089222
78,0.5194569493053811
79,0.521495344567066
80,0.5239835612078286
81,0.522823087100579
82,0.5204506744243013
83,0.5283007223285019
84,0.5206976662327754
85,0.5243433657375985
86,0.5234064606910585
87,0.5255901602422518
88,0.5208805543700932
89,0.5269129178982028
90,0.5196883009859756
91,0.5310548069697894
92,0.5258425984459245
93,0.5179654170612947
94,0.5234921912238638
95,0.5166609923087093
96,0.5218082064683688
97,0.5270028239782241
98,0.5309356954729891
99,0.5313752784697495
100,0.5229152741998145
101,0.5193654580395134
102,0.5175498697422322
103,0.5284766076329406
104,0.5196945995818126
105,0.5229219537719721
106,0.5230488450714144
107,0.5196051205872098
108,0.5182975708253352
109,0.5226923133303056
110,0.5249436489841062
111,0.5269020774625527
112,0.5175185799587367
113,0.5201761932928671
114,0.5227882027793913
115,0.5235993299552368
116,0.5099662631932362
117,0.5195412428982513
118,0.5202827619987038
119,0.5321768338126323
120,0.5208425828307256
121,0.5197758758888747
122,0.5233862784492465
123,0.5235227074635689
124,0.5209598889615494
125,0.5210080796152096
126,0.53220585363875
127,0.5185558923752864
128,0.5189380290590897
129,0.5182310444982647
130,0.5214140386406922
131,0.5176963037664676
132,0.5194295344777633
133,0.524140339491498
134,0.5244099391932227
135,0.5168429535399419
136,0.5222612976429151
137,0.5210067492674593
