endpoint,query_budget_cells,eligible_models_n_ge_5,mean_degree1_ba_eligible,min_degree1_ba_eligible,max_degree1_ba_eligible,mean_lift_vs_majority_eligible,mean_lift_vs_random_score_eligible,models_total
acceptable_floor_choice,6,10,0.6774350831206222,0.6008867899071957,0.711273034552114,0.16641401890705812,0.17662995713162766,10
acceptable_floor_choice,12,10,0.7469300200755646,0.6706746000984739,0.7909043728742161,0.22184397029201483,0.24666913472967772,10
floor_vs_ceiling_within_range_only,6,7,0.6932893024709914,0.6635214808777189,0.7480957915951219,0.18265862838317445,0.19350037834150946,10
floor_vs_ceiling_within_range_only,12,7,0.7581899011141713,0.7290337780548055,0.8115002835295189,0.23241197130588429,0.25768952059482464,10
