endpoint,query_budget_cells,model,n_surfaces,eligible_n_ge_5,degree1_ba,degree2_ridge_ba,hamming_kernel_ba,majority_ba,random_score_ba,lift_vs_majority,lift_vs_random_score,degree1_acc,degree1_floor_recall,degree1_ceiling_recall
acceptable_floor_choice,6,claude-haiku-4-5,5,True,0.6915288828099818,0.6033322410723018,0.5887752471351431,0.5035,0.5008783584594239,0.18802888280998187,0.19065052435055796,0.8011384615384615,0.7100916711141914,0.6725427281751639
acceptable_floor_choice,6,claude-opus-4-6,12,True,0.6842235165549879,0.5954716088520218,0.598803196060007,0.508375,0.5011115425092315,0.1758485165549879,0.1831119740457564,0.7761923076923076,0.6613791431947682,0.7058394181173921
acceptable_floor_choice,6,deepseek-r1,11,True,0.6522886509925012,0.5728459056838333,0.5866240425397694,0.5113181818181818,0.5001384342640137,0.14097046917431943,0.1521502167284875,0.7905524475524475,0.6392344772895477,0.6632669894951145
acceptable_floor_choice,6,gemini-2.5-pro,6,True,0.711273034552114,0.60456665779853,0.6115239864172155,0.5163333333333333,0.50094584588214,0.19493970121878068,0.21032718866997402,0.8181346153846154,0.6906585413253191,0.7300031247470422
acceptable_floor_choice,6,gemini-3-flash-preview,7,True,0.6748536260037825,0.5962905739588859,0.601038476488084,0.5169285714285714,0.5056970377213418,0.1579250545752111,0.16915658828244073,0.7894560439560441,0.5819701147047455,0.7609244990984823
acceptable_floor_choice,6,gpt-5-mini,5,True,0.6008867899071957,0.5563748774455455,0.5651870445141299,0.5194,0.4977097548631989,0.08148678990719571,0.10317703504399678,0.7169384615384615,0.6462724432980161,0.5460653969967734
acceptable_floor_choice,6,gpt-5.2,7,True,0.6797417589352448,0.5918149649163271,0.5812530643214411,0.502,0.5013350346431131,0.1777417589352448,0.17840672429213167,0.7892802197802199,0.6088330417958279,0.7502011928572296
acceptable_floor_choice,6,gpt-5.4-thinking,9,True,0.6881135035578394,0.5977811538347111,0.5857528288584729,0.5035555555555555,0.500427271481684,0.18455794800228387,0.18768623207615542,0.8112777777777778,0.621327071938408,0.7551571747438758
acceptable_floor_choice,6,gpt-health,10,True,0.7069864549266766,0.5968085163182247,0.6200430638054176,0.5288,0.5003310852929264,0.1781864549266765,0.2066553696337502,0.846053846153846,0.7973552320052668,0.6062205997800315
acceptable_floor_choice,6,llama-3.3-70b-instruct-turbo,5,True,0.6844546129658993,0.6077142972146907,0.598740975629951,0.5,0.4994768947728734,0.18445461296589927,0.1849777181930259,0.7371769230769231,0.687314517852117,0.6815947080796815
acceptable_floor_choice,12,claude-haiku-4-5,5,True,0.7508008578972627,0.7194835081593673,0.6108924354210461,0.5141,0.4997510717176699,0.2367008578972627,0.2510497861795928,0.86498,0.7769680713044638,0.7199342303963278
acceptable_floor_choice,12,claude-opus-4-6,12,True,0.7590356725931948,0.6965975928094883,0.6284576098326194,0.5172083333333334,0.4998992770122607,0.24182733925986144,0.2591363955809341,0.8457666666666666,0.7420553275298136,0.7689204113758237
acceptable_floor_choice,12,deepseek-r1,11,True,0.7115387686236037,0.643600188987608,0.6286173191305051,0.5299545454545455,0.5034983349600645,0.1815842231690582,0.2080404336635392,0.850759090909091,0.6868941943994539,0.7230620388572792
