replicate,model_boot_mean,scenario_cluster_model_weighted_boot_mean,scenario_simple_boot_mean
0,0.7567725556391923,0.7709093073363847,0.7629537387365872
1,0.7486761743805521,0.766935140796191,0.7516060711434388
2,0.7379186938352464,0.7258212734217687,0.7109226957962963
3,0.7484905030452953,0.7598784082103219,0.7661162626910233
4,0.7518874871950525,0.7580376664225191,0.723658329893494
5,0.7356080963224167,0.7828922341165725,0.7448914782522077
6,0.7490164812524297,0.7274126615604948,0.7528641006867585
7,0.7500978384639645,0.7239606856825597,0.7571205147562354
8,0.7504940762510623,0.7553277934300417,0.7436043844197907
9,0.7435613396603387,0.767499979190207,0.7952830342158724
10,0.7522213585422177,0.7499776965907325,0.7480382261060828
11,0.7416751417730401,0.738367096221096,0.7551186607332012
12,0.7623399162500535,0.7098953836371779,0.7395131119540393
13,0.7489344609683666,0.7592273884990072,0.7225502513645131
14,0.7389173942956858,0.7734421259183015,0.74042241619363
15,0.7492960693326246,0.7444132615151533,0.7201804497034594
16,0.7555827916991944,0.7281471783904361,0.7761486885051035
17,0.7440261576345727,0.7463743888784709,0.7607802424889225
18,0.7531169523390737,0.7976702703455489,0.7648851636756702
19,0.7591942293112965,0.7183772904213408,0.7228591876704608
20,0.731680331826223,0.7609242301426848,0.7684864340059833
21,0.7578244643932411,0.7309906747642401,0.781036848843774
22,0.7526307545891332,0.7291025115847891,0.7329174658716618
23,0.7661705129446398,0.7530304375948909,0.7667751978493218
24,0.759195382858391,0.727621151920092,0.7409352129890692
25,0.7428540970517754,0.7537658759647317,0.7543178228669005
26,0.7319461666418834,0.764284197616345,0.7441416224235171
27,0.7727655312823791,0.7372285534179632,0.7304409646236654
28,0.7464300757505191,0.75244723210721,0.7345825545486875
29,0.7420245814388512,0.7406394474032687,0.6985118249575635
30,0.7571851307098981,0.750756445666194,0.7213718242039528
31,0.747913922893453,0.7536164103632956,0.7740261081088367
32,0.739795552081268,0.7207053464590811,0.7323096900746764
33,0.7579620922930997,0.7472985105758536,0.7292760801721461
34,0.7343410440213203,0.7697927893511639,0.7679913003851588
35,0.7451359622541929,0.7102203255052386,0.7700949051334579
36,0.7504793661549597,0.7458648110490629,0.7097395171394464
37,0.7382172414757217,0.7444291596290528,0.7668843509232092
38,0.7547880340731277,0.7512586065866211,0.7669016379903786
39,0.761213720689282,0.6965939187977017,0.73384482360245
40,0.764545613908412,0.8218788624048049,0.7115092065120764
41,0.7511065498275968,0.7270354132100133,0.7182574251574448
42,0.7525008545429906,0.7560068354616674,0.7206369599452385
43,0.7353529190087987,0.7392683381839108,0.7438794622093025
44,0.7248729286300806,0.7644001093426828,0.7580825096263416
45,0.7393559357017963,0.7248552707045268,0.7746925627777506
46,0.769273522217524,0.7632937477761297,0.7479984203489004
47,0.7458117337718362,0.7456760769307506,0.7167039657166125
48,0.7475003403960703,0.7349915669170594,0.7603315170735147
49,0.7382168306298487,0.7478555204409726,0.7272515859082606
50,0.7514200960687157,0.752034943567671,0.7267481642332083
51,0.7543474249097719,0.741220605852807,0.7147041569605622
52,0.7456126330020791,0.7729514953150509,0.7258623142725666
53,0.7324822185687461,0.7497464265957927,0.7492901943642716
54,0.734206802431578,0.7571741966156527,0.7122272462429934
55,0.7273014081192166,0.7129747040133892,0.7623613082610377
56,0.7325805029196549,0.7579647899253008,0.7622711235181926
57,0.7367750022036004,0.7620168662338631,0.7244314749632721
58,0.7658265087979478,0.7429042517834294,0.7414497616204493
59,0.7442587136399588,0.755177091262275,0.7375074193694078
60,0.7502174243072536,0.7633982510025198,0.7413254109142847
61,0.7596127970410202,0.7141558153416051,0.7535951641531967
62,0.7596465587768253,0.7356961410916012,0.7571183695501633
63,0.7559912204925695,0.7832396591207221,0.7493094945533824
64,0.7403147076721219,0.7602162834053579,0.7374103065392313
65,0.7534410554690807,0.771621315205571,0.7578018914616831
66,0.7423466498290402,0.7749750726316722,0.7410102856306152
67,0.7606894811440142,0.7722532087776094,0.7033984753403154
68,0.757879133574802,0.7306441960947998,0.7271957553966769
69,0.7485746456156248,0.7175363410708563,0.7150030955204335
70,0.7355545234464389,0.717285523324745,0.6899820724943567
71,0.7567330369973455,0.7051154809260627,0.7615775503202576
72,0.7516141389464299,0.768893790642219,0.7893982023270175
73,0.7454089589381099,0.7370978870851561,0.7650978030856797
74,0.7647006457997232,0.7841576886477872,0.7937302273727858
75,0.7515320809325943,0.7551859484968075,0.7402371055442881
76,0.7323412679715426,0.7470768251585835,0.7154797669324037
77,0.7277152377891538,0.7298447957596923,0.7083538459764307
78,0.7425428057298984,0.7595140500383276,0.7356888969427333
79,0.7422018623909887,0.7799591926714965,0.7018094916363402
80,0.7227646853653684,0.8056466244272078,0.7401569274934252
81,0.7614145827161082,0.7624242773035078,0.7555779708132956
82,0.7318624655127715,0.7375774079125909,0.7492598564119047
83,0.7422199571991229,0.7293889692120762,0.7257457814421436
84,0.7523792084281221,0.738741516568185,0.7403313373675802
85,0.7477732955956744,0.7084286416021972,0.6899578943555383
86,0.7445639708185048,0.7862106210297944,0.7310536617769455
87,0.7547816955194824,0.7393065317140023,0.7381937669035457
88,0.7403031481331593,0.7381303430850364,0.7065991315937357
89,0.7520798789573484,0.7666701577440088,0.7023361949729576
90,0.7241510858016914,0.7242532116065573,0.7350554347312025
91,0.745182388924058,0.7575428232025476,0.7386190737489621
92,0.7678038146987136,0.7431020745180403,0.7333980727633651
93,0.7587651067605488,0.7494380340863595,0.736184735961315
94,0.760413965657644,0.7750474353218499,0.7481678434726575
95,0.749396042528724,0.757056081549705,0.7300828382020177
96,0.7511718618684073,0.7731589074496464,0.7464493411748674
97,0.7544269641211543,0.7923627728897856,0.7465666374296254
98,0.7681602105445402,0.7367204471787482,0.7574285506671485
99,0.7476492245352311,0.7445908221527521,0.7586316741950825
100,0.7297413910202091,0.7312416822352195,0.7398577473058774
101,0.7592333278441478,0.7285566596737216,0.7571175703953595
102,0.7573592355731339,0.7520665203308062,0.7284605839330428
103,0.7606124902853437,0.7731755338240598,0.751876443778268
104,0.7470532611787454,0.7512349272226455,0.7506157304082723
105,0.7378032481324659,0.7408244211574425,0.7487834473278348
106,0.7478690147946225,0.7720401538695038,0.7503203784153335
107,0.7628145567910953,0.7810381015890098,0.7201626043430902
108,0.757625669126054,0.7310735854184149,0.7564410629835888
109,0.7303310158230497,0.7299189241267275,0.7195694405708541
110,0.752421213142367,0.7624308395569134,0.732329007070893
111,0.7474565970199588,0.7218557277897861,0.731418863743977
112,0.7578980255883984,0.7639984369223061,0.713542598270692
113,0.7546786899080358,0.7702693704797858,0.76621409056174
114,0.7506229013238439,0.7425539634356143,0.7205158467223461
115,0.7407180435133353,0.725325626199682,0.7391680375052914
116,0.7504024708428796,0.7752931682333853,0.765689676278655
117,0.7500216294355926,0.7664705499384595,0.715885976440977
118,0.7383803235225679,0.7211000933432199,0.772159791551316
119,0.7452466193020779,0.7553976673347835,0.7060192345703558
120,0.7443425329108636,0.7359621028082184,0.7256144645888387
121,0.7605007672368125,0.7542475083887858,0.7742242315947749
122,0.7547365167811647,0.7980641225457791,0.7326096938775059
123,0.7317452170686086,0.7279604398842522,0.7459887485604572
124,0.7457360875284079,0.7205347776359091,0.7313312059282252
125,0.7304453580858189,0.7685258168931941,0.7276129035859624
126,0.7482595026087371,0.7165171970088715,0.7564833029261798
